"","Country.Name","Country.Code","Indicator.Name","Indicator.Code","X2015","mathScores","readingScores","scienceScores"
"140688","Colombia","COL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",359119668004.215,389.6438,424.9052,415.7288
"140869","Colombia","COL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",26.5,389.6438,424.9052,415.7288
"140919","Colombia","COL","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",69.3000030517578,389.6438,424.9052,415.7288
"140936","Colombia","COL","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",0,389.6438,424.9052,415.7288
"140945","Colombia","COL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",74.1561951219512,389.6438,424.9052,415.7288
"141020","Colombia","COL","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",3.13089256760814,389.6438,424.9052,415.7288
"141162","Colombia","COL","Number of infant deaths","SH.DTH.IMRT",10175,389.6438,424.9052,415.7288
"141223","Colombia","COL","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",17.99813938,389.6438,424.9052,415.7288
"141412","Colombia","COL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",7.1,389.6438,424.9052,415.7288
"141479","Colombia","COL","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",71.1798338018916,389.6438,424.9052,415.7288
"141592","Colombia","COL","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",6.1,389.6438,424.9052,415.7288
"146988","Costa Rica","CRI","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",45226294452.8303,400.2534,427.4875,419.608
"147169","Costa Rica","CRI","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",11.8,400.2534,427.4875,419.608
"147219","Costa Rica","CRI","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",61,400.2534,427.4875,419.608
"147236","Costa Rica","CRI","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",0,400.2534,427.4875,419.608
"147245","Costa Rica","CRI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",79.6089024390244,400.2534,427.4875,419.608
"147320","Costa Rica","CRI","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",NA,400.2534,427.4875,419.608
"147462","Costa Rica","CRI","Number of infant deaths","SH.DTH.IMRT",553,400.2534,427.4875,419.608
"147523","Costa Rica","CRI","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",20.11774831,400.2534,427.4875,419.608
"147712","Costa Rica","CRI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",5.6,400.2534,427.4875,419.608
"147779","Costa Rica","CRI","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",64.4783907526701,400.2534,427.4875,419.608
"147892","Costa Rica","CRI","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",7.7,400.2534,427.4875,419.608
"150138","Croatia","HRV","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",58581225281.9207,464.0401,486.8632,475.3912
"150319","Croatia","HRV","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",0.9,464.0401,486.8632,475.3912
"150369","Croatia","HRV","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",52.7000007629395,464.0401,486.8632,475.3912
"150386","Croatia","HRV","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",0,464.0401,486.8632,475.3912
"150395","Croatia","HRV","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",77.2756097560976,464.0401,486.8632,475.3912
"150470","Croatia","HRV","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",1.54013965016805,464.0401,486.8632,475.3912
"150612","Croatia","HRV","Number of infant deaths","SH.DTH.IMRT",163,464.0401,486.8632,475.3912
"150673","Croatia","HRV","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",21.78040386,464.0401,486.8632,475.3912
"150862","Croatia","HRV","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",2.5,464.0401,486.8632,475.3912
"150929","Croatia","HRV","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",79.1356029122758,464.0401,486.8632,475.3912
"151042","Croatia","HRV","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",17.5,464.0401,486.8632,475.3912
"154863","Cyprus","CYP","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",23512930619.0275,437.1443,442.8443,432.5964
"155044","Cyprus","CYP","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",1.3,437.1443,442.8443,432.5964
"155094","Cyprus","CYP","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",62.2999992370605,437.1443,442.8443,432.5964
"155111","Cyprus","CYP","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",1,437.1443,442.8443,432.5964
"155120","Cyprus","CYP","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",80.2910487804878,437.1443,442.8443,432.5964
"155195","Cyprus","CYP","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",1.66644121294104,437.1443,442.8443,432.5964
"155337","Cyprus","CYP","Number of infant deaths","SH.DTH.IMRT",28,437.1443,442.8443,432.5964
"155398","Cyprus","CYP","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",18.28597332,437.1443,442.8443,432.5964
"155587","Cyprus","CYP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",4.7,437.1443,442.8443,432.5964
"155654","Cyprus","CYP","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",85.8456999614869,437.1443,442.8443,432.5964
"155767","Cyprus","CYP","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",4.7,437.1443,442.8443,432.5964
"156438","Czech Republic","CZE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",225492702210.936,492.3254,487.2501,492.83
"156619","Czech Republic","CZE","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",0.7,492.3254,487.2501,492.83
"156669","Czech Republic","CZE","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",59.4000015258789,492.3254,487.2501,492.83
"156686","Czech Republic","CZE","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",1,492.3254,487.2501,492.83
"156695","Czech Republic","CZE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",79.4731707317073,492.3254,487.2501,492.83
"156770","Czech Republic","CZE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",0.943773890107518,492.3254,487.2501,492.83
"156912","Czech Republic","CZE","Number of infant deaths","SH.DTH.IMRT",274,492.3254,487.2501,492.83
"156973","Czech Republic","CZE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",21.40898739,492.3254,487.2501,492.83
"157162","Czech Republic","CZE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",2.5,492.3254,487.2501,492.83
"157229","Czech Republic","CZE","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",75.3538295384161,492.3254,487.2501,492.83
"157342","Czech Republic","CZE","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",13.7,492.3254,487.2501,492.83
"158013","Denmark","DNK","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",340825646884.154,511.0876,499.8146,501.9369
"158194","Denmark","DNK","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",1,511.0876,499.8146,501.9369
"158244","Denmark","DNK","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",62.2000007629395,511.0876,499.8146,501.9369
"158261","Denmark","DNK","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",0,511.0876,499.8146,501.9369
"158270","Denmark","DNK","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",81.1,511.0876,499.8146,501.9369
"158345","Denmark","DNK","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",1.1165167322116,511.0876,499.8146,501.9369
"158487","Denmark","DNK","Number of infant deaths","SH.DTH.IMRT",212,511.0876,499.8146,501.9369
"158548","Denmark","DNK","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",11.02259277,511.0876,499.8146,501.9369
"158737","Denmark","DNK","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",2.5,511.0876,499.8146,501.9369
"158804","Denmark","DNK","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",86.8594140996762,511.0876,499.8146,501.9369
"158917","Denmark","DNK","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",12.2,511.0876,499.8146,501.9369
"162738","Dominican Republic","DOM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",68989328534.6785,327.702,357.7377,331.6388
"162919","Dominican Republic","DOM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",NA,327.702,357.7377,331.6388
"162969","Dominican Republic","DOM","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",59.7999992370605,327.702,357.7377,331.6388
"162986","Dominican Republic","DOM","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",0,327.702,357.7377,331.6388
"162995","Dominican Republic","DOM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",73.7036829268293,327.702,357.7377,331.6388
"163070","Dominican Republic","DOM","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",0.672525002499321,327.702,357.7377,331.6388
"163212","Dominican Republic","DOM","Number of infant deaths","SH.DTH.IMRT",5624,327.702,357.7377,331.6388
"163273","Dominican Republic","DOM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",20.41796867,327.702,357.7377,331.6388
"163462","Dominican Republic","DOM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",13.5,327.702,357.7377,331.6388
"163529","Dominican Republic","DOM","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",67.631038249861,327.702,357.7377,331.6388
"163642","Dominican Republic","DOM","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",6.8,327.702,357.7377,331.6388
"172188","Estonia","EST","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",23327372037.3633,519.5291,519.1429,534.1937
"172369","Estonia","EST","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",3.2,519.5291,519.1429,534.1937
"172419","Estonia","EST","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",62.0999984741211,519.5291,519.1429,534.1937
"172436","Estonia","EST","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",1,519.5291,519.1429,534.1937
"172445","Estonia","EST","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",77.1317073170732,519.5291,519.1429,534.1937
"172520","Estonia","EST","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",2.07885913783175,519.5291,519.1429,534.1937
"172662","Estonia","EST","Number of infant deaths","SH.DTH.IMRT",35,519.5291,519.1429,534.1937
"172723","Estonia","EST","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",9.404689495,519.5291,519.1429,534.1937
"172912","Estonia","EST","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",2.5,519.5291,519.1429,534.1937
"172979","Estonia","EST","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",80.5417958270297,519.5291,519.1429,534.1937
"173092","Estonia","EST","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",18.9,519.5291,519.1429,534.1937
